state,x,y
Andhra Pradesh,-59,-111
Arunachal Pradesh,177,124
Assam,153,86
Bihar,46,68
Chhattisgarh,-14,0
Goa,-133,-102
Gujarat,-173,24
Haryana,-94,124
Himachal Pradesh,-81,168
Jharkhand,35,36
Karnataka,-109,-118
Kerala,-96,-190
Madhya Pradesh,-74,22
Maharashtra,-122,-37
Manipur,174,60
Meghalaya,119,70
Mizoram,156,34
Nagaland,181,82
Odisha,14,-16
Punjab,-122,146
Rajasthan,-166,79
Sikkim,90,105
Tamil Nadu,-74,-174
Telangana,-70,-63
Tripura,132,40
Uttar Pradesh,-55,100
Uttarakhand,-62,148
West Bengal,68,28
